name,alternative_names,bsc_subfamilies,short_definition,explanation
Access Cost, "['Bandwidth Cost']", "['Data Valuation Techniques']",The cost (not necessarily the price) incurred for accessing a dataset.," The cost (not necessarily price) incurred for accessing a dataset based on historical access logs and the cloud provider's pricing (if existing). This metric directly refers to the cost incurred when accessing data. Data valuation technique which measures access cost based on historical logs and potential cloud pricing, influenced by bandwidth in geo-distributed systems."
Access Frequency,"['Number of Requests', 'Arrival Rate', 'Access Interval', 'Number of Accesses', 'Usage Over Time']", "['Customer Needs and Satisfaction']", Total count of operations or queries made to a system within a given period.,"Overall demand for platform content, capturing the number of times datasets, services, or features are accessed, irrespective of whether by single or multiple users. Also, total count of operations, transactions, or queries made to a system within a given period."
Accessibility,"['Search', 'Functionality', 'Navigation', 'Link']","['Data Valuation Techniques', 'Data Governance and Compliance', 'Technology and Infrastructure']",Ease with which users can access and utilise data,"Accessibility, in the context of data and information systems, refers to the ease with which users can access and utilise data. It encompasses several key aspects:  Availability: Data should be readily available to authorised users when needed, without unnecessary delays or barriers. Usability: The data should be presented in a format that is easy to understand and navigate, allowing users to efficiently find and use the information they need. Interoperability: Data should be compatible with various systems and applications, enabling seamless integration and exchange of information across different platforms. Inclusivity: Accessibility also considers the needs of diverse user groups, including those with disabilities. This means ensuring that data and information systems are designed to be usable by individuals with varying abilities, such as providing alternative formats or assistive technologies. Security and Permissions: While ensuring accessibility, it is also important to manage access controls and permissions to protect sensitive data from unauthorised access. Open to use / licensing: There is no limit on users to use the data. Format: Follow pre-structured definitions for the data content structure, for example, does the dataset match Berners-Lee?s ?linked data principles?? Overall, accessibility is crucial for maximizing the value of data, as it ensures that users can effectively leverage the information for decision-making, analysis, and other purposes. Measures how accessible the platform is for users in terms of ease of navigation, search, and data retrieval."
Accuracy,"[]", "['Data Quality']","How closely data or results align with the true, intended, or expected values.","Accuracy in the context of scientific analysis is a comprehensive measure of how closely data or results align with the true, intended, or expected values. It encompasses multiple facets that ensure the reliability, applicability, and validity of the information within the specific scientific domain. The accuracy of data or results is not only about correctness but also about their overall suitability for achieving the desired objectives in a given context.  The complexity of the relationship between accuracy and the value gained depends on the type of information and the organisation. Moreover, unless specified, the basic calculation of value is obtained by meeting the required accuracy. Accuracy depends on Range, Consistency, Typicality and Moderation Metrics. Nevertheless, different key elements can also be used to explain accuracy: Precision: Refers to the granularity or level of detail in the data. In science, precision ensures that measurements are not only correct but also detailed enough to provide meaningful insights. For example, reporting a temperature as 37.456�C instead of rounding to 37�C can be crucial in laboratory experiments. Timeliness: Information must reflect the most current state. In scientific research, outdated data can lead to incorrect conclusions, making the timeliness of updates or recalibrations essential.  Relevance: Accuracy is context dependent. Data must be both correct and directly applicable to the research question or hypothesis. For instance, accurate but irrelevant data adds no value to the scientific inquiry.  Completeness: Scientific accuracy requires that no critical data points are missing. Incomplete datasets can lead to skewed or biased results, undermining the validity of findings. Traceability: The provenance of data ensures it can be verified and validated. For science, traceability means being able to track data back to its source, such as instrumentation or observation records, to confirm its authenticity. Tolerance and Range: Recognises that minor inaccuracies or deviations may be acceptable within specified thresholds. Scientific accuracy involves defining these thresholds to minimise the impact on overall validity. Furthermore, in terms of range it specifies limits for acceptance too. Context Dependence:  Accuracy must meet the specific standards and expectations of the scientific discipline. For example, a minor deviation in physics experiments might be acceptable, whereas in clinical trials, even small inaccuracies can have serious consequences. Consistency: Data should be reliable and uniform across various trials or applications. Inconsistencies in repeated experiments can signal issues with data accuracy.  Typicality: Measures whether the data reflects typical or expected conditions. Atypical data may require additional validation to ensure its accuracy. Moderation: Ensures data is not skewed or biased toward extremes. Balanced data contributes to overall scientific accuracy by avoiding distortions."
Adaptability,"['Versatility', 'Flexibility']", "['Operational Efficiency']","Adaptability measures a system?s ability to adjust to environmental changes, like network conditions or user demands, to enable dynamic resource allocation and efficient scalability.","Relates to how well a system can adjust to changes in its environment, such as varying network conditions, changing user needs, or different operating contexts. Adaptable systems make scalability more efficient because they can dynamically adjust their resources and behaviour to accommodate growth."
Adaptability Power Curve (APC), "['Adaptation of Data Centre to Available Renewable Energy (APCren)']", "['Operational Efficiency']",Deviation of a data centre?s power use from its baseline,"Adaptability of a data centre?s power consumption by quantifying the deviation of actual monitored power from the baseline power profile over a given time interval. Similarly, APCren can be seen as a modified version that looks for the renewable energy sources influences."
AEUF, "[]", "['Operational Efficiency']", Assess how effectively a data centre employs its airside economiser system for ?free? cooling.,Assess how effectively a data centre employs its airside economiser system for ?free? cooling.
Age,"['Data Creation', 'Time Index', 'Age of Information']", "['Data Quality']","Refers to how recent or old the data is. The age of data can impact its relevance and accuracy, especially in fast-moving fields like technology or finance.","Refers to how recent or old the data is. The age of data can impact its relevance and accuracy, especially in fast-moving fields like technology or finance."
Airflow Efficiency (AFE),"[]", "['Operational Efficiency']",How efficiently air moves from the supply to the return., "How efficiently air moves from the supply to the return."
Annual Fraction of Data Loss (AFDL),"[]", "['Data Quality']", "Measures the fraction of stored data lost annually, assessing reliability in distributed systems.","Measures the fraction of stored data lost annually, assessing reliability in distributed systems."
