name,explanation,BSCfamily
Age, Addresses refresh rate and available history,CUSTOMER
Aggregation Level,"The degree to which data is or should be aggregated (if constructed from more than one set). This can be manipulated, nevertheless when a report contains more than one attribute, any metric on the report is calculated by default at the lowest attribute level that is on the report.",INTERNAL PROCESSES
Compliance Cost,Estiamted financial cost to buiseness of not keeping data for compliance / regulation puproses,FINANCIAL
Consumer Satisfaction,"Focusing on measuring the level of satisfaction consumers experience with the data they have purchased52. High levels of consumer satisfaction typically indicate that the data meets or exceeds the expectations of the consumers, suggesting that it is of high quality, accurate, and valuable for their specific needs53. This, in turn, positively influences the overall valuation of the data, as satisfied consumers are more likely to make repeat purchases, recommend the data to others, and are willing to pay a premium for high-quality data. ",FINANCIAL
Data innovation capability,The ability to innovate in services or products based on novel use of (or insights from) data and data services.,EDUCATION AND GROWTH
Data monetary value Trends,"Involves different waranties that are related to money that can be extraxted and linked. These includes: (1) Data value monitoring capability and (2) Data value prediction capability. These involves (1) Supports data value assessment and reporting at all stages in the data value chain and (2) Capacity to analyse and predict data value trends or sources from current indicators, patterns and context.",EDUCATION AND GROWTH
Data non monetary value Trends,"The data non-monetary value involves different waranties that are not directly related to money that can be extraxted and linked. These includes (1) communication capabilities, (2) training capabilities, and (3) profiling,  More specifically  (1) Level of integration of data value into IT leadership, governance, infrastructures, and communication to different stakeholders, (2) The ability to enhance organisational management and technical skills about data value issues, (3)  the ability to specify sources of value for a specific organisation/user/stakeholder.",EDUCATION AND GROWTH
Data security - availability,"Availability is the ability for users to access systems and information when needed, even under duress.",INTERNAL PROCESSES
Data Security - Confidentiality,"Confidentiality implies an infosec team's ability to keep company information, customer information, proprietary intellectual property and any other data under the infosec domain protected from unauthorized access.",INTERNAL PROCESSES
Data Security - Integrated Framework,"This implies the capture and analyses of several perspectives related to Data Security and System Security. These includes: Autehnticity, Controllability, Safe Physical Enfironment Index, Physical Access Control, Communication Network Architecture, Communication transmission, Trusted Verification, Access and Protection Strategies, Network Attack Prevention, Audit and Credible Verification, Identity autehtication and access polity, device intrusion prevention, data security, centrilized control, safety management, audit management, system management. This impact data governance.",INTERNAL PROCESSES
Data Security - Integrity,"Integrity in cyber security means data is complete, trustworthy and has not been modified or accidentally altered by an unauthorised user. The integrity of data can be compromised unintentionally by errors in entering data, a system malfunction, or forgetting to maintain an up-to-date backup.",INTERNAL PROCESSES
Dataset Intrinsic Cost - Future Economic Benefits,"The future economic benefits flowing from an intangible asset may include revenue from the sale of products or services, cost savings, or other benefits resulting from the use of the asset. (e.g.  the use of intellectual property in a production process may reduce future production costs).",FINANCIAL
Dataset Intrinsic Cost - Lifecycle,"Lifecycle means all different steps a product passes through, from the first product concept to the production processes and ending with disposal of the product. For data this implies data curation data management, data collection, etc.",FINANCIAL
Dataset Intrinsic Cost - Scarcity,"Scarcity is a concept that can be viewed in two different ways: relative scarcity and absolute scarcity. Relative scarcity refers to the comparison of the availability of resources between two or more entities.This metrics should look at limited supply information, substitutes existance. For dataset, we do not consider absolute or relative only absolute.",FINANCIAL
Dataset optimisation capability,"ability to acquire, curate, maintain and enhance datasets based on value maximisation",EDUCATION AND GROWTH
Decision-making capability,Organisational capacity (Datamite) to create a data value-based control loop that feeds into organisational level decisions;,EDUCATION AND GROWTH
Detail,Data is written with the accuracy which is required for the business.,CUSTOMER
Education and training related,"A vital KPI in data monetization and valuation is the extent to which a data marketplace offers educational material and strategies for data monetization. The lack of clear guidelines and established best practices can lead to vague pricing strategies, revenue models, and value propositions, thereby misaligning data monetization efforts with broader business objectives and limiting revenue potential.",EDUCATION AND GROWTH
fixed record value,A count of record with a fixed value per record that can be used,FINANCIAL
Format,"Format include different characteristics such as the format by itself (tabulated, visual, plots , graphs ?.), ordering (the way the data is arranged in the medium or the sequencing of details and totals), and desing (e.g. graphical desing jpg, gif, etc.)",CUSTOMER
Infrastructure optimisation capability,"Ability to design, deploy and reconfigure the enterprise data infrastructure to maximise data value",EDUCATION AND GROWTH
Interlinking,"Interlinking refers to the degree to which entities that represent the same concept are linked to each other, be it within or between two or more data sources. This is important, for example, to perform recommendations.",EDUCATION AND GROWTH
IP value,Intellectual Porperty data assets whose value is directly proportional to its financial value (e.g. licenses or patents),FINANCIAL
IT services optimisation capability,"The ability to evolve, adapt and orchestrate the data processes, support services and workflows towards value-based goals and outcomes.",EDUCATION AND GROWTH
Latency,Data latency is the total time elapsed between when data are acquired by a sensor and when these data are made available to the public.,CUSTOMER
Lineage or Provenence,"The term ?data provenance?, sometimes called ?data lineage,? refers to a documented trail that accounts for the origin of a piece of data and where it has moved from to where it is presently.",CUSTOMER
Market Value,Value of the Dataset or those similar to them within the market.,FINANCIAL
Ownership,Addresses outright data set ownership plus licensing restrictions and service agreements,CUSTOMER
Quality,Global Concept of Quality that incorprates all the others,CUSTOMER
Quality - Accuracy & Credibility,"Data accuracy is all about whether the data in the company systems matches that out in the real world or another verifiable source. Credibility corresponds to the notion of validity in quantitative work but is more about internal validity. The credibility of qualitative data can be assured through multiple perspectives throughout data collection to ensure data are appropriate. This may be done through data, investigator, or theoretical triangulation; participant validation or member checks; or the rigorous techniques used to gather the data.",CUSTOMER
Quality - completeness,"Data completeness is a metric that assesses the extent to which expected information is available within a dataset. Completeness doesn't necessarily mean that every single field is filled in. ""For example, an employee's first name and last name are mandatory, but middle name is optional,"" he said. ""So a record can be considered complete even if a middle name is not available.""",CUSTOMER
Quality - consistency,"Consistency means data across all systems/dataset reflects the same information, and they are in sync with each other across the system.",CUSTOMER
Quality - currency/timeliness,Data Currency refers to the practice of ensuring that data is continuously updated and relevant to reflect the latest information available.,CUSTOMER
Quality - integrity,"Even if data is consistent, complete, unique, and accurate it doesn't always stay that way. It's touched by different people and moves through different systems. Maintaining data integrity is essential for ensuring that the information is trustworthy and can be used confidently for decision-making, analysis, and operational processes.",CUSTOMER
Quality - Validity,"Data validity refers to the degree to which data accurately represents the real-world constructs it is intended to depict. It ensures that the data is appropriate, meaningful, and useful for the specific context in which it is applied. Valid data must adhere to relevant criteria, constraints, and specifications defined for a particular use case. ",CUSTOMER
Quality -duplication/uniqueness/conciseness,"Most companies have multiple overlapping sets of data. Even in the case of single data sets, records can be accidentally added more than once. Conciseness refers to the minimization of redundancy of entities at the schema and the data level. Conciseness is classified into (i) intensional conciseness (schema level) which refers to the case when the data does not contain redundant schema elements (properties and classes) and (ii) extensional conciseness (data level) which refers to the case when the data does not contain redundant objects (instances).",CUSTOMER
Replacement Cost,"This deifne cost of replacing the data set by another . If data set is unique, the replacement cost is infinity. This can be related to scarcity (in Financial) but this is from the users / client perspective",CUSTOMER
Service Quality,"The service quality involves responsiveness, accuracy of information, reliability, technical competence, empathy (if involves any service), and support personal (if exist).",EDUCATION AND GROWTH
Similarity,A theoretical measure of similarity whenever each datum carries the same value for the user.,CUSTOMER
sintactic validity,Used for text and is related to syntactically accurate. This is achieved when it is part of a legal value set for the represented domain or it does not violate syntactical rules defined for the domain.,CUSTOMER
Size,"Define quantity of data based on metrics  it can be number of of records, or Megabites, or specific characteristics given the format (e.g. number of features for tabulated).",CUSTOMER
Strategies,"This involves (1) Strategic change capability, (2) Strategic data planning and scaling capability, and (3) Organisational learning capability. In other words (1) identification of the changes in organisational goals based on performance and trends.  (2) identification of longer-term data acquisition, data architecture, system integration, IS priorities, business process and people required, and (3) the extent to which the organisation can evolve based on data value considerations.",EDUCATION AND GROWTH
Trustworthiness - Confirmability,"If applicable, secure that data and findings are not due to the participant and/or researcher bias",EDUCATION AND GROWTH
Trustworthy - Dependability,An in-depth description of the study procedures and analysis to allow the study to be replicated,EDUCATION AND GROWTH
Trustworthy - Privacy,"Addresses whether the dataset contains sensitive data such as Personally Identifiable Information (PII) and Protected Health Information, and meets privacy standards. Data Privacy stands as a crucial KPI in the context of data monetization and valuation, reflecting the extent to which personal identification data is protected and managed ethically.",EDUCATION AND GROWTH
Trustwowrthy - Regulatory Risk,"Defines if there is any obligation to keep this data, and if there are any ethical/legal consequences for the organization if it loses it",EDUCATION AND GROWTH
Update Frequency,Indicate how often the data is updated applies to electronic records only. ,INTERNAL PROCESSES
Utility - Consumer Retention Rate,Porportion of data consumer who continue to use specific dataset after a specific period.  ,INTERNAL PROCESSES
Utility - Diversity of Useage,"The Diversity of Data Use is a KPI relevant for data valuation, focusing on the range of contexts or projects where customers utilize the purchased data. This metric is sheds light on the versatility and broad applicability of the data. When data is used across a diverse array of projects and contexts, it indicates high versatility, suggesting that the data is comprehensive, adaptable, and relevant to various needs and applications",EDUCATION AND GROWTH
Utility - Flexibility ,"Data Flexibility is the ability for a solution to grow, shrink or change to meet a revised set of data needs or requirements.  This involves perspectivos of platform, integration, storage, and access capabilities. Flexibility can be seen from a client perspective and Internal Process Perspective. ",CUSTOMER
